CST_ORIGEM;CODIGO_PRODUTO;DESCRICAO;NCM;EX;CEST
1;008277;INSERTO ZPMT100308ZER PL JC 8118;82090011;;
2;002619;FRESA DE M D CLB 0802;82077010;;
2;002616;FRESA DE M D CLB 0402;82077010;;
2;002614;FRESA DE M D CLB 0202;82077010;;
1;001999;INSERTO MILLSTAR BDS 10N 0.8;82090011;;
2;008254;INSERTO RDHX 0702 8003;82090011;;
2;008280;FRESA DE M D RTA 1205 BR;82077010;;
2;008111;FRESA DE M D BTA 0802 BR;82077010;;
2;007913;FRESA DE M D BTA 0402 BR;82077010;;
2;007881;FRESA DE M D BTA 0202 BR;82077010;;
2;007773;FRESA DE M D ETA 0804 BR;82077010;;
2;007770;FRESA DE M D ETA 0404 BR;82077010;;
2;007766;FRESA DE M D ETA 0204 BR;82077010;;
2;003351;FRESA DE M D RTA 1005;82077010;;
2;000002;FRESA DE M D BTA 0152;82077010;;
2;008021;FRESA DE M D BTA 0102  BR;82077010;;
2;007963;FRESA DE M D ETA 0104 BR;82077010;;
0;008924;D16.2.H15.L150.90º4NKT060308;84661000;;
2;008873;INSERTO METAL DURO RDMW 1204 JC8015;82090011;;
0;009910;D16.2.H15.L150 BLMP 0603;84661000;;
0;009156;32.5.ER.M16 BLMP0603;84661000;;
2;008967;INSERTO BLMP0603R-JC8015 BR;82090011;;
0;009345;PONTEIRA MXG 5025 M12;84661000;;
2;008883;FRESA DE M D CLR 1205 BR;82077010;;
2;007769;FRESA DE M D ETA 1204 BR;82077010;;
2;007409;FRESA DE M D CLR 1005;82077010;;
2;007032;FRESA DE M D CLR 1010;82077010;;
2;007867;FRESA DE M D CMB 0402 BR;82077010;;
2;007194;FRESA DE M D CMS 1604;82077010;;
2;008968;INSERTO BLMP0904R-JC8015;82090011;;
2;008852;INSERTO HIGH FEED WDMW 050316ZTR JC8015 BR;82090011;;
2;007896;FRESA DE M D CMS 0604 BR;82077010;;
2;007870;FRESA DE M D CMS 0404 BR;82077010;;
1;007058;INSERTO MILLSTAR BDS 32N 2,6;82090011;;
1;002003;INSERTO MILLSTAR BDS 20N 1,6;82090011;;
0;000945;FRESA MILLSTAR SFCY 3225032 BR;82079000;;
0;000806;FRESA MILLSTAR CY 0810010 BR;84661000;;
1;000155;FRESA DE M D LETA 0504;82077010;;
2;008405;FRESA DE M D CLR 0605 BR;82077010;;
2;007865;FRESA DE M D CMB 0202 BR;82077010;;
2;001857;FRESA DE M D BTAP 0152;82077010;;
2;000215;FRESA DE M D RTA 0810;82077010;;
2;008550;FRESA DE M D RTAP 0610 BR;82077010;;
2;008410;FRESA DE M D CMR 0102 BR;82077010;;
2;007886;FRESA DE M D RTAP 0405 BR;82077010;;
2;007018;FRESA DE M D CLR 0205;82077010;;
2;002809;FRESA DE M D CMR 0810;82077090;;
2;002807;FRESA DE M D CMR 0610;82077090;;
2;002804;FRESA DE M D CMR 0410;82077010;;
2;001861;FRESA DE M D BTAP 0402;82077010;;
2;000551;FRESA DE M D RTA 0505;82077010;;
2;000210;FRESA DE M D RTA 0405 BR;82077010;;
0;009079;D50.5.BLMP06;84661000;;
2;008554;INSERTO LNMU 0303 JC 8015 BR.;82090011;;
1;002239;BROCA DE M D ADRC10050;82075019;;
2;008247;INSERTO RDHX 0702MOT DH103 BR;82090011;;
1;009122;INSERTO RDMT 1204MOT  JC8118;82090011;;
1;003290;INSERTO ZOMT 060208ZER JC8118;82090011;;
2;009290;INSERTO RDHX 12T3 JC8015 BR;82090011;;
0;008324;CABECOTE 80TO,6,R6 12T3;82079000;;
0;009307;D20.3.H19.L150 LNMU0303;84661000;;
2;007775;FRESA DE M D LRTA 0805 BR;82077010;;
0;009043;D25.4.H24.L200 BLMP0603;84661000;;
0;009311;D.32.5.ER M16 90° 4NKT;84661000;;
0;009024;PARAFUSO  4NKT;73181500;;
1;001824;INSERTO ZPMT13T320RP FZ15 R 2,0;82090011;;
2;008934;FRESA DE M D CMR 0305;82077010;;
2;007772;FRESA DE M D ETA 0604 BR;82077010;;
2;007771;FRESA DE M D ETA 0304 BR;82077010;;
2;007756;FRESA DE M D BTA 0302 BR;82077010;;
0;001015;FRESA MILLSTAR CYF 1215012 BR;84661000;;
2;000547;FRESA DE M D LNEC 1512;82077010;;
1;000268;INSERTO MILLSTAR VBD 06R 01;82090011;;
1;000265;INSERTO MILLSTAR VRBS 08;82090011;;
2;000201;FRESA DE M D META 0502;82077010;;
2;000024;FRESA M D ETA 0504;82077010;;
0;009159;D20.3.H20.L150 BLMP 0603;84661000;;
0;008275;D25.3.H24.L150.APMT1135;84661000;;
0;008956;D20.3.ER.M10.93º4NKT060308;84661000;;
0;008394;PONTEIRA HIGH FEED MSH 2016 M8 BR WOMW 04.;84661000;;
1;002686;PONTEIRA HIGH FEED MSH 3020 M10 BR WOMW 04;82079000;;
0;009342;PARAFUSO INSERTO SPNW 1004;73181500;;
1;001384;INSERTO HIGH FEED WOMW 04T215ZER JC8015;82090011;;
0;007778;FRESA HMX 3020 150 3N;84661000;;
0;007777;FRESA HMX 2016 150 2N BR;84661000;;
